source_url,action,target_url,reason,clicks_90d,impressions_90d,position_90d,confidence
https://zqremovals.au/adelaide-moving-guides/removalists-cost-adelaide/,301,https://zqremovals.au/removalists-adelaide-prices/,Cost/price cluster — 23 pages competing for one intent — highest-click page in cluster; confirm link profile before folding,6,1679,21.92,CHECK-BACKLINKS
https://zqremovals.au/removalists-prospect/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (45 impr) -> unmapped hub,1,45,12.67,VERIFY-GEO
https://zqremovals.au/removalists-toorak-gardens/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (44 impr) -> unmapped hub,0,44,7.89,VERIFY-GEO
https://zqremovals.au/removalists-port-adelaide/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (39 impr) -> unmapped hub,0,39,19.69,VERIFY-GEO
https://zqremovals.au/removalists-croydon/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (29 impr) -> unmapped hub,0,29,37.52,VERIFY-GEO
https://zqremovals.au/removalists-st-peters/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (25 impr) -> unmapped hub,0,25,9.28,VERIFY-GEO
https://zqremovals.au/removalists-burnside/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (22 impr) -> unmapped hub,0,22,9.14,VERIFY-GEO
https://zqremovals.au/removalists-grange/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (13 impr) -> unmapped hub,1,13,7.15,VERIFY-GEO
https://zqremovals.au/removalists-medindie/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (10 impr) -> unmapped hub,0,10,13.2,VERIFY-GEO
https://zqremovals.au/removalists-magill/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (9 impr) -> unmapped hub,0,9,8.78,VERIFY-GEO
https://zqremovals.au/removalists-stepney/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (7 impr) -> unmapped hub,0,7,5.43,VERIFY-GEO
https://zqremovals.au/removalists-athelstone/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (7 impr) -> unmapped hub,0,7,6.57,VERIFY-GEO
https://zqremovals.au/removalists-north-adelaide/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,7.5,VERIFY-GEO
https://zqremovals.au/removalists-henley-beach/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,8.67,VERIFY-GEO
https://zqremovals.au/removalists-semaphore/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,5.83,VERIFY-GEO
https://zqremovals.au/removalists-seaton/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,7.67,VERIFY-GEO
https://zqremovals.au/removalists-adelaide-parklands/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,8.83,VERIFY-GEO
https://zqremovals.au/removalists-woodville/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (6 impr) -> unmapped hub,0,6,9.67,VERIFY-GEO
https://zqremovals.au/removalists-west-lakes/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (5 impr) -> unmapped hub,0,5,46.0,VERIFY-GEO
https://zqremovals.au/removalists-victor-harbor/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (4 impr) -> unmapped hub,0,4,5.0,VERIFY-GEO
https://zqremovals.au/removalists-kensington-gardens/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (3 impr) -> unmapped hub,0,3,8.33,VERIFY-GEO
https://zqremovals.au/removalists-west-beach/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (3 impr) -> unmapped hub,0,3,9.33,VERIFY-GEO
https://zqremovals.au/removalists-henley-beach-south/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (3 impr) -> unmapped hub,0,3,10.0,VERIFY-GEO
https://zqremovals.au/removalists-campbelltown/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,5.0,VERIFY-GEO
https://zqremovals.au/removalists-findon/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,6.0,VERIFY-GEO
https://zqremovals.au/removalists-walkerville/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,6.0,VERIFY-GEO
https://zqremovals.au/removalists-west-croydon/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,2.0,VERIFY-GEO
https://zqremovals.au/removalists-mile-end/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,9.5,VERIFY-GEO
https://zqremovals.au/removalists-rosemont/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,8.0,VERIFY-GEO
https://zqremovals.au/removalists-west-terrace/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,6.5,VERIFY-GEO
https://zqremovals.au/removalists-seaton-park/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,22.0,VERIFY-GEO
https://zqremovals.au/removalists-rosewater/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (2 impr) -> unmapped hub,0,2,5.0,VERIFY-GEO
https://zqremovals.au/removalists-glenunga/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,10.0,VERIFY-GEO
https://zqremovals.au/removalists-trinity-gardens/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,36.0,VERIFY-GEO
https://zqremovals.au/removalists-fullarton/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,4.0,VERIFY-GEO
https://zqremovals.au/removalists-largs-bay/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,9.0,VERIFY-GEO
https://zqremovals.au/removalists-new-port/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,2.0,VERIFY-GEO
https://zqremovals.au/removalists-torrensville/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,4.0,VERIFY-GEO
https://zqremovals.au/removalists-victor-harbor-road/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,8.0,VERIFY-GEO
https://zqremovals.au/removalists-glen-osmond/,301,https://zqremovals.au/removalists-adelaide/,Low-value suburb page (1 impr) -> unmapped hub,0,1,5.0,VERIFY-GEO
